project UUID;name;count;state
[cf458a42-bd18-4126-86cd-2b823439c390];[US, Hawaii—Island Census Records, 1878–1896|https://www.familysearch.org/indexing/admin-new/#/projects/cf458a42-bd18-4126-86cd-2b823439c390/overview];1;ACTIVE
[3761a906-4408-4a2f-a5fc-89e26bab7d72];[Bolivia, Oruro-Tarija-Santa Cruz—Catholic Church Records, 1566–1970|https://www.familysearch.org/indexing/admin-new/#/projects/3761a906-4408-4a2f-a5fc-89e26bab7d72/overview];1;ACTIVE
[c87ab108-fc59-464d-b108-c2f4fb8f439b];[Italia, Roma—Stato Civile, 1867–1929 \[Parte D\]|https://www.familysearch.org/indexing/admin-new/#/projects/c87ab108-fc59-464d-b108-c2f4fb8f439b/overview];1;ACTIVE
[67193a8d-3329-40b9-9c96-8062fbd3151a];[France, Haute-Vienne—Recensement de 1836 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/67193a8d-3329-40b9-9c96-8062fbd3151a/overview];1;ACTIVE
[47700494-5076-4222-b225-39438e59f6a1];[República Dominicana—Registro civil, Defunciones, 1838–1984 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-b225-39438e59f6a1/overview];1;ACTIVE
[733f39b4-be63-4200-a109-f25e481749e8];[Canada, Ontario—1851 Census|https://www.familysearch.org/indexing/admin-new/#/projects/733f39b4-be63-4200-a109-f25e481749e8/overview];1;ACTIVE
[a343b930-b3e3-4fec-be45-fd38935bfa54];[Brazil, Paraná—Civil Registration, 1852–1996 \[Part A2\]|https://www.familysearch.org/indexing/admin-new/#/projects/a343b930-b3e3-4fec-be45-fd38935bfa54/overview];1;ACTIVE
[670cba5f-4edc-42fb-98b1-4772bb2bb550];[Honduras—Registros de la Iglesia Catolica, 1694–1979|https://www.familysearch.org/indexing/admin-new/#/projects/670cba5f-4edc-42fb-98b1-4772bb2bb550/overview];1;ACTIVE
[a3ca7381-b8dd-4e08-813b-d21013f82eb9];[El Salvador—Registros Civiles, 1836–2001 \[Parte G\]|https://www.familysearch.org/indexing/admin-new/#/projects/a3ca7381-b8dd-4e08-813b-d21013f82eb9/overview];1;ACTIVE
[87e47f86-9b33-41c6-917f-e49141573b25];[US, Maine—Alien Arrivals, 1906–1953|https://www.familysearch.org/indexing/admin-new/#/projects/87e47f86-9b33-41c6-917f-e49141573b25/overview];1;ACTIVE
[69bf0e51-db02-43d6-a4df-4f65e4f6791c];[US, Missouri—County Marriages, 1806–1969 \[Part I\]|https://www.familysearch.org/indexing/admin-new/#/projects/69bf0e51-db02-43d6-a4df-4f65e4f6791c/overview];1;ACTIVE
[93c1957a-1aa2-4ed9-bc86-be33569dc944];[US, Missouri—State Archives, Pre-World War II Adjutant General Enlistment Contracts, 1900–1941 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/93c1957a-1aa2-4ed9-bc86-be33569dc944/overview];1;ACTIVE
[16ed8ca3-e7a5-4484-a15f-4ea9a61aad4c];[Brasil, Paraná—Registro Civil, 1852–1996 \[Parte A\]|https://www.familysearch.org/indexing/admin-new/#/projects/16ed8ca3-e7a5-4484-a15f-4ea9a61aad4c/overview];1;ACTIVE
[acb80718-5da9-42fe-99ed-08ca3abedfd9];[Ecuador—Registros de la Iglesia Católica, 1615–1996 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/acb80718-5da9-42fe-99ed-08ca3abedfd9/overview];1;ACTIVE
[4dcb2991-8357-45af-8048-4857fd037921];[US, California—County Death Records, 1800–1994|https://www.familysearch.org/indexing/admin-new/#/projects/4dcb2991-8357-45af-8048-4857fd037921/overview];1;ACTIVE
[67c6d0bd-019d-4bc3-bf97-018badfbb875];[Luxembourg—Civil Registration, 1796–1923 \[Part I\]|https://www.familysearch.org/indexing/admin-new/#/projects/67c6d0bd-019d-4bc3-bf97-018badfbb875/overview];1;ACTIVE
[9c60ea1d-5252-47e4-850c-b5e8b77c7d17];[US, Oregon, Portland—Oregon Deaths, 1881–1915|https://www.familysearch.org/indexing/admin-new/#/projects/9c60ea1d-5252-47e4-850c-b5e8b77c7d17/overview];1;ACTIVE
[1040846f-51cd-4b86-8a2d-6dcf149634d3];[Uruguay—Archivo General de la Nación, Listas de Pasajeros, 1888–1930 \[Parte B\]|https://www.familysearch.org/indexing/admin-new/#/projects/1040846f-51cd-4b86-8a2d-6dcf149634d3/overview];1;ACTIVE
[b139ff3f-db66-4892-9d47-1a3dd7a37338];[Nederland, Noord-Holland, Amsterdam—Burgerlijke stand, Geboorten, 1811–1902|https://www.familysearch.org/indexing/admin-new/#/projects/b139ff3f-db66-4892-9d47-1a3dd7a37338/overview];1;ACTIVE
[08f172db-5d27-4291-bf07-c23f77d070b6];[US, New York—U.S. District Court Naturalization Records, Southern District, 1824–1946 \[Part N\]|https://www.familysearch.org/indexing/admin-new/#/projects/08f172db-5d27-4291-bf07-c23f77d070b6/overview];1;ACTIVE
[be945d24-a6fa-4ca2-86f5-4448da1cd266];[US, Pennsylvania—Mortality Schedules, 1850–1880|https://www.familysearch.org/indexing/admin-new/#/projects/be945d24-a6fa-4ca2-86f5-4448da1cd266/overview];1;ACTIVE
[77ed0dbc-3004-4828-8b48-1823ba6889e5];[Italia (Antenati Italiani), Torino—Stato Civile, 1806–1813 \[Parte B\]|https://www.familysearch.org/indexing/admin-new/#/projects/77ed0dbc-3004-4828-8b48-1823ba6889e5/overview];1;ACTIVE
[a7bff08d-230a-4aa4-88f0-0a8353f02584];[Jamaica—Church of England, Church Records, 1669–1880|https://www.familysearch.org/indexing/admin-new/#/projects/a7bff08d-230a-4aa4-88f0-0a8353f02584/overview];1;ACTIVE
[27FCEC51-9261-4943-B03B-A002E402D652];[Brasil, São Paulo—Registro Civil, Nacimientos, 1907–1995 \[Parte F\]|https://www.familysearch.org/indexing/admin-new/#/projects/27FCEC51-9261-4943-B03B-A002E402D652/overview];1;READY_FOR_DELIVERY
[17f5d269-b419-4bd2-9add-901b4ae64b5b];[Italia (Antenati Italiani), Avellino—Stato Civile, 1866–1947 \[Parte 2M\]|https://www.familysearch.org/indexing/admin-new/#/projects/17f5d269-b419-4bd2-9add-901b4ae64b5b/overview];1;ACTIVE
[8f2e4e7c-3371-42fe-bad5-30b48d0f9f8b];[Philippines—Marriage Records, 1945–1987 \[Part E\]|https://www.familysearch.org/indexing/admin-new/#/projects/8f2e4e7c-3371-42fe-bad5-30b48d0f9f8b/overview];1;ACTIVE
[65189d86-024e-4631-b38b-15f11812f7dc];[South Africa, KwaZulu Natal—Vital Records, 1868-1976 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/65189d86-024e-4631-b38b-15f11812f7dc/overview];1;ACTIVE
[ba8d6579-1de6-4f29-87e3-8731d1e72aed];[US, Connecticut—Naturalization Records, 1795–1942|https://www.familysearch.org/indexing/admin-new/#/projects/ba8d6579-1de6-4f29-87e3-8731d1e72aed/overview];1;ACTIVE
[de6edf3c-1382-4cbd-8c3a-f3d506c2c8d0];[Italy (Antenati Italiani), Genova—Civil Registration, 1866–1947 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/de6edf3c-1382-4cbd-8c3a-f3d506c2c8d0/overview];1;ACTIVE
[5d948eb9-20d5-4570-b298-2679cb2d1126];[Danmark—Lægdsruller, 1789–1792 \[Del C\]|https://www.familysearch.org/indexing/admin-new/#/projects/5d948eb9-20d5-4570-b298-2679cb2d1126/overview];1;ACTIVE
[40ed89ea-e80b-417b-bbc1-a7522a1155c0];[Argentina, Entre Rios—Civil Registration, 1860–1965 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/40ed89ea-e80b-417b-bbc1-a7522a1155c0/overview];1;ACTIVE
[c6084b9f-9ada-4e75-9363-e2bc74999682];[US, Massachusetts, Boston—Voter Registers, 1857-1920|https://www.familysearch.org/indexing/admin-new/#/projects/c6084b9f-9ada-4e75-9363-e2bc74999682/overview];1;ACTIVE
[f29ee7df-3649-4946-bb60-fe203be3f2a1];[Bolivia, Chuquisaca—Catholic Church Records, 1566–1970|https://www.familysearch.org/indexing/admin-new/#/projects/f29ee7df-3649-4946-bb60-fe203be3f2a1/overview];1;ACTIVE
[ff5d7124-c4ac-4fb3-bdd7-df12d2778a38];[France, Rhône—Première Guerre mondiale, Enregistrements du recrutement, 1865–1932 \[Partie D\]|https://www.familysearch.org/indexing/admin-new/#/projects/ff5d7124-c4ac-4fb3-bdd7-df12d2778a38/overview];1;ACTIVE
[5995b6a0-7d59-44fe-8200-5663e034dee9];[US, California—County Birth Records, 1800–1994|https://www.familysearch.org/indexing/admin-new/#/projects/5995b6a0-7d59-44fe-8200-5663e034dee9/overview];1;ACTIVE
[9bf99d74-ee9c-4691-b1d2-67fc0e0cb252];[Sverige, Stockholms stad—Index till kyrkböcker, 1546–1927 \[Del 5\]|https://www.familysearch.org/indexing/admin-new/#/projects/9bf99d74-ee9c-4691-b1d2-67fc0e0cb252/overview];1;ACTIVE
[b8cdd08d-5d4f-4a4a-8a65-dbc16575a1a2];[Luxembourg—Registres d'état civil, 1796–1923 \[Partie G\]|https://www.familysearch.org/indexing/admin-new/#/projects/b8cdd08d-5d4f-4a4a-8a65-dbc16575a1a2/overview];1;ACTIVE
[c0b9b989-8607-4598-bc97-3f982cf36066];[US, Oregon, Willamette Valley Genealogical Society—Death Index 1971–2008|https://www.familysearch.org/indexing/admin-new/#/projects/c0b9b989-8607-4598-bc97-3f982cf36066/overview];1;ACTIVE
[c8986096-d7ae-4ce3-9af5-e56e8d1a7567];[Germany, Schleswig-Holstein, Kreis Steinburg—Civil Registration, 1874–1983 \[Part E\]|https://www.familysearch.org/indexing/admin-new/#/projects/c8986096-d7ae-4ce3-9af5-e56e8d1a7567/overview];1;ACTIVE
[a0a28fdd-1bc5-473e-9438-8fd37004a57a];[Hrvatska, Delnički dekanat—crkvene knjige, 1725–1926 \[Dio B\]|https://www.familysearch.org/indexing/admin-new/#/projects/a0a28fdd-1bc5-473e-9438-8fd37004a57a/overview];1;ACTIVE
[5098AA75-BBF6-429E-B404-A046CF661C18];[US, North Carolina—Index to Vital Records, Births, 1800–2000 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/overview];1;READY_FOR_DELIVERY
[13c738a4-81fb-4320-b121-6e99c053e7e1];[Peru, Prelatura de Yauyos-Cañete-Huarochirí—Catholic Church Records, 1665–2018 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/13c738a4-81fb-4320-b121-6e99c053e7e1/overview];1;ACTIVE
[87d52592-4176-4257-8b6e-838043a14068];[US, Illinois—Naturalization Records, 1856–1991 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/87d52592-4176-4257-8b6e-838043a14068/overview];1;ACTIVE
[ff766367-35d5-46c8-af11-9684b0c8ceee];[US, Oregon, Willamette Valley—Marriage Index Records, 1849–1884; 1991–2006|https://www.familysearch.org/indexing/admin-new/#/projects/ff766367-35d5-46c8-af11-9684b0c8ceee/overview];1;ACTIVE
[f1c6a1ab-0247-4bc8-9c05-0c80f828b3e2];[Italia (Antenati Italiani), Modena—Stato Civile, 1806–1865 \[Parte A\]|https://www.familysearch.org/indexing/admin-new/#/projects/f1c6a1ab-0247-4bc8-9c05-0c80f828b3e2/overview];1;ACTIVE
[8b0c7702-b53f-42f7-9063-621ed0d511ab];[UK, England, Gloucestershire—Nonconformist Church Records, 1642–1996 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/8b0c7702-b53f-42f7-9063-621ed0d511ab/overview];1;ACTIVE
[71589a78-2f3c-402c-b8ec-cb13fde2b524];[US, New York, Finger Lakes—Index to Land Records, Grantees, 1630–1975 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/71589a78-2f3c-402c-b8ec-cb13fde2b524/overview];1;ACTIVE
[6263ed44-37b0-4e8e-b4a4-97837e34c55c];[South Africa, KwaZulu Natal—Vital Records,  1868–1976 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/6263ed44-37b0-4e8e-b4a4-97837e34c55c/overview];1;ACTIVE
[c939ea47-557c-4468-863c-842f0e282a83];[Colombia, Bogota—Burial Licenses, 1960-1995 \[Part E\]|https://www.familysearch.org/indexing/admin-new/#/projects/c939ea47-557c-4468-863c-842f0e282a83/overview];1;ACTIVE
[3ca87512-8366-4264-8fb9-10a85f5cf318];[US, Texas—Passenger Lists of Vessels Arriving at Galveston, Texas, 1896–1951|https://www.familysearch.org/indexing/admin-new/#/projects/3ca87512-8366-4264-8fb9-10a85f5cf318/overview];1;ACTIVE
[15916825-2453-4f65-9d54-91fa7caf8c58];[El Salvador, Registros Civiles, 1836–2001 \[Parte D\]|https://www.familysearch.org/indexing/admin-new/#/projects/15916825-2453-4f65-9d54-91fa7caf8c58/overview];1;ACTIVE
[b572d592-792a-4f50-ba00-ea5e1372c0dd];[Uruguay—Archivo General de la Nación, Listas de Pasajeros, 1888–1930 \[Parte C\]|https://www.familysearch.org/indexing/admin-new/#/projects/b572d592-792a-4f50-ba00-ea5e1372c0dd/overview];1;ACTIVE
[0508ecdd-adaa-434a-b3db-c34d33fa4343];[US, New York—Northern Alien Arrivals, 1929–1974 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/0508ecdd-adaa-434a-b3db-c34d33fa4343/overview];1;ACTIVE
[b3dc8ab0-76ae-4143-84aa-40b0131dcef6];[US, Michigan—Grand Army of the Republic, Cemetery Index, 1800–1900|https://www.familysearch.org/indexing/admin-new/#/projects/b3dc8ab0-76ae-4143-84aa-40b0131dcef6/overview];1;ACTIVE
[3d77fd23-da96-4fef-a431-ae3160823ba0];[Guatemala—Civil Registration, 1885–2009 \[Part J\]|https://www.familysearch.org/indexing/admin-new/#/projects/3d77fd23-da96-4fef-a431-ae3160823ba0/overview];1;ACTIVE
[effd8bd2-9b54-47ed-9b98-8ba56ecec58f];[Italia (Antenati Italiani), L'Aquila—Morti, 1911–1943 \[Parte H\]|https://www.familysearch.org/indexing/admin-new/#/projects/effd8bd2-9b54-47ed-9b98-8ba56ecec58f/overview];1;ACTIVE
[0d04748d-68e3-4c24-82ec-f30852ef8028];[QA Brad -- Another Test of Ingest DAS|https://www.familysearch.org/indexing/admin-new/#/projects/0d04748d-68e3-4c24-82ec-f30852ef8028/overview];1;ACTIVE
[4b22cb54-c642-466e-9ec9-122dcfbf6fbd];[UK, England, Lancashire—Nonconformist Church Records, 1647–1996 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/4b22cb54-c642-466e-9ec9-122dcfbf6fbd/overview];1;ACTIVE
[bf7dbe31-e91c-4eb4-997b-85274e04ab54];[Danmark, København—Begravelsesregistre, 1805–1968 \[Del C\]|https://www.familysearch.org/indexing/admin-new/#/projects/bf7dbe31-e91c-4eb4-997b-85274e04ab54/overview];1;ACTIVE
[39fabf38-4baa-44e4-9e93-42c755198070];[Italy (Antenati Italiani), Bologna—Civil Registration, 1820–1865 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/39fabf38-4baa-44e4-9e93-42c755198070/overview];1;ACTIVE
[7c9d3f3a-fd29-47b0-84b6-b53ed2e5d980];[Italia (Antenati Italiani), Padova—Stato Civile, 1605–1908 \[Parte A\]|https://www.familysearch.org/indexing/admin-new/#/projects/7c9d3f3a-fd29-47b0-84b6-b53ed2e5d980/overview];1;ACTIVE
[6eb14cf9-d934-4db5-806f-0faa2af3b498];[Venezuela, Caracas—Parish Records, 1578–1947 \[Part F\]|https://www.familysearch.org/indexing/admin-new/#/projects/6eb14cf9-d934-4db5-806f-0faa2af3b498/overview];1;ACTIVE
[4e1ae11e-88d3-49b3-be87-341f81250fdc];[Canada, Nova Scotia—Church Records, 1864–1877 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/4e1ae11e-88d3-49b3-be87-341f81250fdc/overview];1;ACTIVE
[4c9957c3-51b8-4e08-a604-c56734d77bd8];[Guatemala—Civil Registration, 1885–2009 \[Part I\]|https://www.familysearch.org/indexing/admin-new/#/projects/4c9957c3-51b8-4e08-a604-c56734d77bd8/overview];1;ACTIVE
[aed38986-61de-462d-998d-5c7852f6ee73];[Norway, Oslo—Census, 1901|https://www.familysearch.org/indexing/admin-new/#/projects/aed38986-61de-462d-998d-5c7852f6ee73/overview];1;ACTIVE
[1bf47d9e-e11f-4c74-9b9e-730b27609058];[US, New York—Index to Passenger Lists of Vessels Arriving at New York City, 1897–1902|https://www.familysearch.org/indexing/admin-new/#/projects/1bf47d9e-e11f-4c74-9b9e-730b27609058/overview];1;ACTIVE
